wall_time_s,n_policy,n_proprio,n_depth,n_interframe,n_preprocess,proprio_age_mean_ms,proprio_age_p50_ms,proprio_age_p95_ms,depth_age_mean_ms,depth_age_p50_ms,depth_age_p95_ms,interframe_dt_mean_ms,interframe_dt_p50_ms,interframe_dt_p95_ms,camera_hz_mean,preprocess_dt_mean_ms,preprocess_dt_p50_ms,preprocess_dt_p95_ms
1786609565.094,1,1,0,0,0,1.406,1.406,1.406,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1786609567.099,75,75,75,49,50,1.215,1.147,1.915,63.915,62.398,102.318,39.186,33.901,56.449,25.519,36.810,31.258,56.187
1786609569.108,94,94,94,49,49,1.025,1.070,1.876,62.023,57.332,110.545,40.541,38.500,61.612,24.666,39.412,38.259,61.422
1786609571.128,97,97,97,48,48,1.004,1.107,1.853,65.682,59.929,108.514,41.769,36.033,68.439,23.941,41.940,35.811,68.056
1786609573.128,96,96,96,51,51,0.966,0.917,1.860,60.044,55.003,106.682,38.901,33.457,65.474,25.706,36.679,30.880,65.217
1786609575.142,98,98,98,48,48,1.001,1.041,1.853,66.253,64.113,109.762,42.481,33.920,66.841,23.540,40.835,31.183,66.675
1786609577.161,95,95,95,45,45,0.996,1.070,1.842,70.292,66.683,117.008,43.910,40.151,71.201,22.774,41.931,40.770,68.113
1786609579.169,94,94,94,52,52,0.966,0.982,1.905,59.527,54.219,106.189,39.628,35.769,62.718,25.235,37.198,33.416,62.412
1786609581.189,97,97,97,57,57,1.031,1.015,1.956,52.483,50.723,83.369,35.643,33.394,48.988,28.056,33.401,31.129,48.776
1786609583.197,94,94,94,47,47,0.908,0.907,1.831,66.767,60.845,123.361,41.654,34.022,70.176,24.007,40.877,33.599,69.645
1786609585.199,97,97,97,52,52,1.017,1.052,1.887,60.476,58.133,97.049,39.296,38.011,64.141,25.448,37.719,37.797,63.913
1786609587.213,97,97,97,50,50,0.993,1.100,1.880,63.111,59.466,105.748,39.253,34.312,59.459,25.476,39.067,33.987,60.137
1786609589.232,98,98,98,46,46,0.998,0.995,1.865,70.517,68.104,117.710,44.416,46.003,65.461,22.514,42.369,45.335,64.774
1786609591.234,95,95,95,51,51,0.933,0.901,1.885,59.397,56.611,88.999,39.835,38.824,54.827,25.104,38.151,38.570,52.415
1786609593.245,94,94,94,48,48,0.929,0.944,1.766,63.606,62.228,98.481,41.689,39.576,60.281,23.987,40.269,39.679,60.070
1786609603.241,36,36,36,255,255,0.913,0.884,1.958,62.141,60.723,104.647,39.214,34.508,56.618,25.501,36.429,32.230,56.428
